Wall time,Step,Value
1618730489.05134,0,0.808924794197083
1618730561.20982,1,0.16656719148159
1618730633.96486,2,0.108962208032608
1618730706.53127,3,0.124059960246086
1618730779.49497,4,0.083908177912235
1618730852.31654,5,0.075046338140965
1618730925.24591,6,0.053680445998907
1618730998.03634,7,0.033046927303076
1618731071.33702,8,0.037042535841465
1618731144.38379,9,0.037380959838629
1618731217.82436,10,0.03151860460639
1618731290.89262,11,0.036132153123617
1618731363.88758,12,0.030954271554947
1618731437.28304,13,0.028027791529894
1618731510.30436,14,0.023154897615314
1618731583.14299,15,0.02666486799717
1618731655.99868,16,0.029776111245155
1618731729.03524,17,0.023709097877145
1618731802.22176,18,0.023946799337864
1618731875.12994,19,0.021077532321215
