Wall time,Step,Value
1618734885.24905,0,0.131463795900345
1618734937.36194,1,0.022678256034851
1618734989.78252,2,0.058123271912336
1618735042.61039,3,0.165734186768532
1618735095.59375,4,0.112023510038853
1618735150.00047,5,0.019675217568874
1618735203.48236,6,0.120623841881752
1618735257.24642,7,0.046432457864285
1618735310.25785,8,0.019472384825349
1618735363.60214,9,0.016443721950054
1618735416.72062,10,0.018958825618029
1618735470.15788,11,0.017326258122921
1618735523.24618,12,0.01783056370914
1618735576.26148,13,0.01700851880014
1618735629.46286,14,0.017988529056311
1618735682.46566,15,0.017026180401445
1618735735.61625,16,0.02022286131978
1618735788.81711,17,0.015874352306128
1618735841.79858,18,0.015024643391371
1618735894.89308,19,0.01578183658421
