Wall time,Step,Value
1618732326.7233,0,0.78218537569046
1618732379.75329,1,0.146934852004051
1618732432.75167,2,0.092764601111412
1618732486.20587,3,0.076885238289833
1618732539.49873,4,0.066120073199272
1618732593.01454,5,0.066311985254288
1618732646.42481,6,0.055788274854422
1618732699.69078,7,0.054900914430618
1618732753.04134,8,0.056992840021849
1618732806.47581,9,0.050663013011217
1618732859.8335,10,0.044720195233822
1618732913.40056,11,0.037033934146166
1618732966.89294,12,0.04514642432332
1618733020.34023,13,0.048954334110022
1618733073.72102,14,0.039839643985033
1618733126.79212,15,0.045266043394804
1618733180.06212,16,0.038048546761274
1618733233.5164,17,0.034486152231693
1618733286.8511,18,0.031432051211596
1618733340.39254,19,0.035245392471552
