Wall time,Step,Value
1618727339.77802,0,0.253722041845322
1618727387.73297,1,0.168867275118828
1618727435.98192,2,0.140697687864304
1618727484.40608,3,0.11672131717205
1618727532.51055,4,0.099365793168545
1618727580.36401,5,0.092088334262371
1618727628.32103,6,0.084974110126495
1618727676.00841,7,0.076298289000988
1618727723.47186,8,0.084292441606522
1618727771.26639,9,0.063297122716904
1618727818.82858,10,0.068040251731873
1618727866.58209,11,0.062901630997658
1618727914.65355,12,0.051782440394163
1618727962.16421,13,0.057216718792915
1618728010.29137,14,0.042622551321983
1618728058.32223,15,0.051928404718638
1618728106.4171,16,0.045277234166861
1618728154.50099,17,0.042930003255606
1618728202.47097,18,0.045129772275686
1618728250.77186,19,0.038374584168196
